,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
22958,cf29215b1b81a85c2270a68f04d34911df75d4a4,5.0,1.0,3.0,3.0,1.0,1.0,1991,3,4,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
23264,07493b4e4162981b2c26f8ec9903a52bc304eedf,5.0,1.0,1.0,3.0,1.0,1.0,1994,6,1,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
23265,4d466bfa83a71e0c4ce984f8649ffa699d0f90a7,1.0,4.0,1.0,3.0,1.0,1.0,1997,8,15,42.0,2015-01-01,,,0.0,0.0,Serviços
23325,b2cf97c760139e5f36fefc04262c3a334eee52f1,5.0,1.0,3.0,3.0,1.0,0.0,1993,9,25,42.0,2014-01-07,1.0,0.0,1.0,0.0,Serviços
23521,4f68e8b3822e8029891a6cb2ef509c85a747a221,5.0,2.0,1.0,3.0,1.0,1.0,1989,6,25,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
23951,2503dc868a838ea3f975bf1ccb2bceee929e868b,1.0,4.0,1.0,3.0,1.0,1.0,1976,4,28,43.0,2013-01-01,,,0.0,0.0,Serviços
23985,538a5344970383f08329d7121f0f79d7ed2fd079,5.0,1.0,3.0,3.0,1.0,0.0,1967,9,24,21.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
24047,1b6942d0726f80fe33b9d8800126a2bacbe4d1d9,1.0,4.0,1.0,3.0,1.0,1.0,1998,9,23,42.0,2016-01-01,,,1.0,0.0,Serviços
24148,0338da255b1a03bf2001f4920827c58ce093bb82,4.0,3.0,3.0,3.0,1.0,1.0,1994,3,15,42.0,2013-01-01,0.0,0.0,1.0,0.0,Serviços
24209,405ef5d1121c7fb033d7632e7500ab16347fb86f,1.0,4.0,1.0,3.0,1.0,3.0,1967,3,26,42.0,2013-01-01,,,1.0,0.0,Serviços
24342,37518c661bd18abb809cf2d035faf49372e53d2c,1.0,4.0,1.0,3.0,1.0,1.0,1995,9,3,43.0,2015-01-01,,,1.0,0.0,Serviços
25076,190c6903e06664c9acbbf013a67a32672d5088fc,5.0,1.0,3.0,3.0,1.0,0.0,1990,8,9,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
25163,b5ea8d8e15cd7cf77a9575c7edc01a3a8d189c9d,5.0,1.0,3.0,3.0,1.0,0.0,1979,3,5,35.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
26385,d3b2a2665fd0f6ae65b37a9a22aec9847082ddda,5.0,1.0,1.0,3.0,1.0,1.0,1996,7,8,35.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
26466,179b3263553731a4e6150f5dc2ee34ef8cfa9089,5.0,1.0,3.0,3.0,1.0,1.0,1997,2,7,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
26512,6cb9b1ff078d120a13d87ee45fa9578d0839f1ef,5.0,2.0,1.0,3.0,1.0,1.0,1989,3,16,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
26699,b7bbd50a0eefd224530bba471ad05d864fc8bf3f,1.0,4.0,1.0,3.0,1.0,1.0,1974,11,29,42.0,2014-01-01,,,0.0,0.0,Serviços
26780,48afd21d7a811464521ed18285f61ae7df7ec6d3,1.0,4.0,1.0,3.0,1.0,1.0,1992,6,15,35.0,2015-01-01,,,1.0,0.0,Serviços
27313,3e510ac035566b0442f2463eebeb7dc189424568,1.0,4.0,1.0,3.0,1.0,1.0,1996,10,15,42.0,2014-01-01,,,0.0,0.0,Serviços
27533,e06f890d3f3f1186fc5b303ca18197ce46621120,5.0,1.0,3.0,3.0,1.0,1.0,1993,12,9,42.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
27749,2b86f093b7b886650f3a31df59df89ccde2d38b0,1.0,4.0,1.0,3.0,1.0,1.0,1989,7,6,35.0,2016-01-01,,,0.0,0.0,Serviços
27858,7b6002c3b353b33d78a9e6f78479d3c81f55dba7,1.0,4.0,1.0,3.0,1.0,1.0,1996,4,5,,2014-01-01,,0.0,1.0,0.0,Serviços
27985,7da847284dea0e504f0e45dd1d7ef2e8f4ca805b,4.0,3.0,3.0,3.0,1.0,0.0,1990,10,12,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
27992,6518200b3fe592db543959f44dc9555ddadb4660,1.0,4.0,1.0,3.0,1.0,1.0,1994,5,10,35.0,2013-01-01,,,1.0,0.0,Serviços
28227,acf70cc70bf523b6a91a34f1154fe36c082d48a4,1.0,4.0,1.0,3.0,1.0,4.0,1994,8,24,41.0,2014-01-01,,,0.0,0.0,Serviços
28228,8b921b3e066753c0e57c0a62271a28f617deb518,5.0,1.0,1.0,3.0,1.0,0.0,1975,6,20,43.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
28265,e05aff2437b15f149f56ed8c785323a2f36fd691,5.0,1.0,1.0,3.0,1.0,0.0,1992,2,15,42.0,2009-01-01,1.0,0.0,0.0,0.0,Serviços
28580,b6e0cac89725a6127f9aa2251b877db66ee8a93f,1.0,4.0,1.0,3.0,1.0,3.0,1997,9,18,42.0,2016-01-01,,,0.0,0.0,Serviços
28599,4ab0b1c22d4d810e916c8b6ea1a5181ed2785ea0,5.0,1.0,1.0,3.0,1.0,0.0,1992,2,13,42.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
28828,4e5da0dd24306c6567b4d0fb7fb491425524dbb2,1.0,4.0,1.0,3.0,1.0,1.0,1989,7,16,42.0,2016-01-01,,,1.0,0.0,Serviços
28850,948d41b2908930bb1f2f1a25826afe9c913e1271,1.0,4.0,1.0,3.0,1.0,1.0,1997,2,13,42.0,2015-01-01,,,0.0,0.0,Serviços
29473,157029d25facdbdf62703f34f94f5846a3f6631f,5.0,1.0,3.0,3.0,1.0,0.0,1996,7,16,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
29599,c798a1e57b19de5f2f52397d354c95b0febaf294,5.0,1.0,3.0,3.0,1.0,0.0,1996,8,19,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
29646,eeb8ae2d8f399eda09f6a39647219fed6276f1e4,4.0,3.0,3.0,3.0,1.0,1.0,1987,10,28,42.0,2012-01-07,0.0,0.0,0.0,0.0,Serviços
29903,75735ce6897eb5a0d118300c6dcd6cbecc8e1268,5.0,3.0,3.0,3.0,1.0,2.0,1990,9,11,42.0,2011-01-01,0.0,,0.0,0.0,Serviços
29924,ba6276b8c84b1b212c531a96e21100d783875f4a,5.0,1.0,1.0,3.0,1.0,0.0,1982,12,29,42.0,2015-01-01,0.0,0.0,1.0,0.0,Serviços
30125,7547565bcaf2e78a6489a4be8189a6fbb773c01f,4.0,3.0,3.0,3.0,1.0,0.0,1990,3,20,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
30374,0636b042da422e4e8aec60deebd93de5b07e9cd4,1.0,4.0,1.0,3.0,1.0,1.0,1997,2,8,33.0,2016-01-01,,,0.0,0.0,Serviços
30739,641ff185f6b30f22a4b013b0135c80cd9553c15e,1.0,4.0,1.0,3.0,1.0,1.0,1985,2,17,43.0,2015-01-01,,,1.0,0.0,Serviços
31027,49c6b8d969d1a3acb55e6765a1a252adb409bcd9,4.0,3.0,3.0,3.0,1.0,0.0,1989,3,3,,2008-01-07,0.0,0.0,0.0,0.0,Serviços
31069,293df17cad0a7a31367702430f4e0bd9246b442f,5.0,1.0,1.0,3.0,1.0,0.0,1997,5,31,42.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
31149,796e9c37670d263cd11929a93066ff454d7c6ff9,5.0,1.0,3.0,3.0,1.0,1.0,1992,9,22,42.0,2015-01-07,1.0,0.0,0.0,0.0,Serviços
31192,7066f1e6f79dd35e5046275487b282d745f3d37f,1.0,4.0,1.0,3.0,1.0,1.0,1953,12,24,42.0,2015-01-07,,,1.0,0.0,Serviços
31231,55c26cc3fcca691a2d7080e113be86c98a82cbfb,5.0,1.0,3.0,3.0,1.0,1.0,1996,9,28,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
31279,759ac9191cd27eecfea59c27688ff2f54e2dbfdb,1.0,4.0,1.0,3.0,1.0,1.0,1986,6,11,42.0,2014-01-01,,,1.0,0.0,Serviços
31337,ded711e0878cfbf575dd8408c1f5ed0e0a1c314f,1.0,4.0,1.0,3.0,1.0,1.0,1984,10,9,43.0,2013-01-01,,,0.0,0.0,Serviços
31535,890898d89c89ff0b81bce239b4d415199a161718,1.0,4.0,1.0,3.0,1.0,0.0,1994,6,6,42.0,2015-01-07,,,0.0,0.0,Serviços
31607,6bb93ec3346843c94f1e44fb67e5d44d27bc5e63,1.0,4.0,1.0,3.0,1.0,1.0,1998,5,12,35.0,2016-01-01,,,1.0,0.0,Serviços
31637,a11aaa8180726dcdd0014c830476c8db4d52bbc2,5.0,1.0,3.0,3.0,1.0,0.0,1977,5,12,41.0,2014-01-01,1.0,0.0,1.0,0.0,Serviços
31645,c6df6db1fe1802ea899605185a7aee9eca669e1f,5.0,1.0,1.0,3.0,1.0,1.0,1998,5,13,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
31895,781a45caec1316016c4ad01eb7ddb7e75b20ab5b,5.0,1.0,3.0,3.0,1.0,1.0,1997,2,2,,2016-01-01,0.0,0.0,1.0,0.0,Serviços
31924,f1c03d33c6e4d44d9ec44a8592f0b272b11610a9,1.0,4.0,1.0,3.0,1.0,1.0,1989,11,28,42.0,2013-01-01,,,1.0,0.0,Serviços
32261,bb9bd9be89c807b233b2ab9894647b8789a325fd,1.0,4.0,1.0,3.0,1.0,1.0,1992,3,31,43.0,2013-01-01,,,1.0,0.0,Serviços
32694,9b82dec12efaf14f2bef3c01d9be6643eb2011bb,5.0,3.0,3.0,3.0,1.0,2.0,1987,6,24,41.0,2011-01-01,0.0,,0.0,0.0,Serviços
32720,3e3e7a4b7c60c5192d0ad1f1b023519630596898,1.0,4.0,1.0,3.0,1.0,1.0,1964,12,8,42.0,2016-01-01,,,0.0,0.0,Serviços
33120,75a115290b3c92642ce073ced24a169eb92ea5f5,1.0,4.0,1.0,3.0,1.0,2.0,1985,10,7,43.0,2013-01-01,,,1.0,0.0,Serviços
33208,7f8c068c5c4392562e416a1af1ff29ca688e2c36,5.0,1.0,1.0,3.0,1.0,0.0,1997,4,8,42.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
33251,f214bf5bbe314969ba63f65b662c8889359ffd95,1.0,4.0,1.0,3.0,1.0,1.0,1996,4,30,26.0,2016-01-01,,,0.0,0.0,Serviços
33736,6136208d82db12cc1bf5f8b5fbda8bc0d88cd811,1.0,4.0,1.0,3.0,1.0,1.0,1997,10,8,42.0,2015-01-01,,,1.0,0.0,Serviços
33801,19dac228aa84830beb6885c6a34fd5ec1b7cd4fe,1.0,4.0,1.0,3.0,1.0,1.0,1968,4,25,42.0,2015-01-01,,,0.0,0.0,Serviços
33837,12363b2c08cb8de7edfc7e88ab3cc6c5958001e8,1.0,4.0,1.0,3.0,1.0,3.0,1972,11,2,35.0,2016-01-01,,,1.0,0.0,Serviços
33888,942300b8dbb0ed876e695a0551c578cc360da5e4,5.0,1.0,3.0,3.0,1.0,1.0,1993,4,12,35.0,2015-01-07,0.0,0.0,1.0,0.0,Serviços
34045,128f5e5d9376e68cecc7ffa47fe28e8ff9c5759f,1.0,4.0,1.0,3.0,1.0,1.0,1978,3,6,42.0,2013-01-01,,,1.0,0.0,Serviços
34337,993cb4bfc979a3398a0dace0cdca603d74955ea0,1.0,4.0,1.0,3.0,1.0,1.0,1979,8,10,,2015-01-01,,,0.0,0.0,Serviços
34365,1d6cd3451fbcf4bccc2c99dceeb6b6cc5db9afa3,1.0,4.0,1.0,3.0,1.0,1.0,1997,4,8,43.0,2016-01-01,,,0.0,0.0,Serviços
34398,d3105ff420c6769d74838ecbe18a855f5cce65be,5.0,1.0,1.0,3.0,1.0,0.0,1972,10,16,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
34492,a407fedcab02f9b82b34788b82ed1ef8f0bbf10a,1.0,4.0,1.0,3.0,1.0,3.0,1969,10,9,43.0,2013-01-01,,,1.0,0.0,Serviços
34532,352cfa697e1f9b98a93f7494a6d79ed39cf8f66a,5.0,1.0,1.0,3.0,1.0,1.0,1991,11,25,41.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
34689,bf14baeb46935ec122cfaeda8ef70dbe940b2e49,4.0,3.0,3.0,3.0,1.0,1.0,1992,3,14,42.0,2012-01-01,0.0,0.0,0.0,0.0,Serviços
34704,dd5a77bbbdf1b65d69e9cc9aec811af8539a22db,5.0,1.0,3.0,3.0,1.0,0.0,1992,8,18,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
34705,8a5c5560bcefb1f01e81ed019b6ffb8810391b3b,1.0,4.0,1.0,3.0,1.0,0.0,1996,1,6,42.0,2014-01-01,,,0.0,0.0,Serviços
34846,685c846c700ae56f037116c1f67eb3e4cfe04081,5.0,1.0,1.0,3.0,1.0,0.0,1987,6,22,42.0,2008-01-01,0.0,0.0,0.0,0.0,Serviços
34915,f43d81b92e2b813d4c30a489ddf13ab28847dce7,4.0,3.0,3.0,3.0,1.0,0.0,1987,7,6,42.0,2012-01-01,0.0,0.0,1.0,0.0,Serviços
35276,2dca4a5d8a092d592058f170e4ddd496488f7e0c,5.0,1.0,3.0,3.0,1.0,1.0,1979,11,12,41.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
35574,6b3d81d040131778050e7ede1c327a078cd3297f,5.0,2.0,1.0,3.0,1.0,1.0,1991,3,26,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
35891,89c2a81f5006863cec9ef2390e67784a3f16da2e,1.0,4.0,1.0,3.0,1.0,1.0,1997,5,21,42.0,2016-01-01,,,0.0,0.0,Serviços
35920,85eca7aec57a00abf6647797abd3a928556e1294,1.0,4.0,1.0,3.0,1.0,1.0,1960,4,6,43.0,2013-01-01,,,1.0,0.0,Serviços
35938,4f7c763c2fa4c5fef0fa5939ea72190e39f926f6,1.0,4.0,1.0,3.0,1.0,1.0,1992,10,5,42.0,2015-01-01,,,1.0,0.0,Serviços
36372,7bb81d341bef9c3a92e2f0d1679b4c13e8b3afdf,4.0,3.0,3.0,3.0,1.0,1.0,1992,10,11,,2010-01-01,0.0,0.0,1.0,0.0,Serviços
36772,adbde8df9bbfdf01b236b9a8da69f5412b82f72c,5.0,1.0,3.0,3.0,1.0,0.0,1989,9,15,43.0,2015-01-07,1.0,0.0,0.0,0.0,Serviços
36877,031c4cb0ead077804dd05a60fd701cea9c2bba40,1.0,4.0,1.0,3.0,1.0,1.0,1997,3,11,42.0,2015-01-01,,,1.0,0.0,Serviços
37103,105e1512a0d123a22be03f38d93b04ccff741c50,1.0,4.0,1.0,3.0,1.0,1.0,1994,7,6,42.0,2016-01-01,,,1.0,0.0,Serviços
37137,44dfc0ba5e48d5dba2bfcfac602a7394967837d9,5.0,1.0,3.0,3.0,1.0,1.0,1996,5,8,42.0,2015-01-01,0.0,0.0,1.0,0.0,Serviços
37353,5dd18970f5fcaf9bac3e59b1f72e70dbb05c9cb7,1.0,4.0,1.0,3.0,1.0,1.0,1996,12,4,42.0,2014-01-01,,,1.0,0.0,Serviços
37392,b4ac1834a6dfdb9c3413abfa40a41181b7e1dfef,4.0,3.0,3.0,3.0,1.0,1.0,1984,6,18,,2010-01-07,0.0,0.0,1.0,0.0,Serviços
37648,7374f942b37e9a5cd28abf57c039409f127444b0,1.0,4.0,1.0,3.0,1.0,0.0,1997,7,15,35.0,2015-01-01,,,1.0,0.0,Serviços
38115,f43cffabc6dfff39823a0f8914d5d6eb10ef36b4,5.0,1.0,3.0,3.0,1.0,0.0,1993,11,11,,2016-01-01,1.0,0.0,0.0,0.0,Serviços
38155,ca5e38089ca1590072d2b02fd2acff85b6c8945a,5.0,1.0,1.0,3.0,1.0,1.0,1993,11,24,43.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
38719,4ae2add78fbd8009997f9c8122d28906e76821be,5.0,1.0,1.0,3.0,1.0,0.0,1993,9,16,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
39117,877bd6b3dec08586ab88bed86a92e72af6faeab4,1.0,4.0,1.0,3.0,1.0,1.0,1996,2,5,42.0,2016-01-01,,,0.0,0.0,Serviços
39224,aab0ff6a2cb5b7242db228f454b36e14ea37f2b4,1.0,4.0,1.0,3.0,1.0,1.0,1993,7,9,35.0,2015-01-07,,,1.0,0.0,Serviços
39440,25f7a67cab95d6d8f50202d5bf6d4c7d194423ea,5.0,1.0,3.0,3.0,1.0,1.0,1988,5,17,41.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
39447,fb89afc1ba819d8c74aa5b6cac5e29d926c611c6,5.0,1.0,3.0,3.0,1.0,0.0,1987,2,19,42.0,2015-01-07,1.0,0.0,1.0,0.0,Serviços
39587,d317788bd6d3631a09ab75af33ddd8183ea44f92,1.0,4.0,1.0,3.0,1.0,1.0,1990,3,3,42.0,2015-01-01,,,1.0,0.0,Serviços
39620,169777792492bf2915658b8d063246573c9d5f55,1.0,4.0,1.0,3.0,1.0,1.0,1998,3,8,52.0,2016-01-01,,,1.0,0.0,Serviços
39866,d239f156a0ce812894ab514533eb6d195cf9b668,1.0,4.0,1.0,3.0,1.0,1.0,1990,9,13,41.0,2016-01-01,,,1.0,0.0,Serviços
39870,bdccc6702ddcf76010230fdfc8b008734ae60296,1.0,4.0,1.0,3.0,1.0,1.0,1973,1,19,42.0,2013-01-01,,,1.0,0.0,Serviços
40551,e2d589151486afc3e2d07a46824095403dabd22f,4.0,3.0,3.0,3.0,1.0,0.0,1992,8,6,,2012-01-01,0.0,0.0,0.0,0.0,Serviços
40611,0696a482915ef187758de4bd25c91d3d9decd5c4,1.0,4.0,1.0,3.0,1.0,1.0,1990,10,1,42.0,2015-01-01,,,1.0,0.0,Serviços
40616,1f16b89ce0ea0349b807cc7e456060783a726a7d,1.0,4.0,1.0,3.0,1.0,1.0,1990,8,27,35.0,2016-01-01,,,0.0,0.0,Serviços
41286,261066c825cf123424f3d7af79c15597f0c3d9ee,5.0,1.0,1.0,3.0,1.0,1.0,1997,8,29,41.0,2015-01-07,1.0,0.0,0.0,0.0,Serviços
41432,ccfee6e3dc9e2d289b55d8201a6f1425296f8db6,5.0,2.0,1.0,3.0,1.0,1.0,1998,4,19,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
41670,9f3e0b0aa61318e807438ef3f3b165be91bc5382,1.0,4.0,1.0,3.0,1.0,1.0,1984,12,15,23.0,2016-01-01,,,0.0,0.0,Serviços
41849,0ef645c718da3c4b7d0150938f34798bd0c58d73,1.0,4.0,1.0,3.0,1.0,3.0,1986,8,25,15.0,2016-01-01,,,0.0,0.0,Serviços
42167,1106bd97ac2dc1e481c5b73b7fb9daf6e8fb4b6e,4.0,3.0,3.0,3.0,1.0,1.0,1988,4,27,42.0,2008-01-07,0.0,0.0,1.0,0.0,Serviços
42692,d01928dc13bca8029a47c71344bec6dbe242b0f0,5.0,1.0,3.0,3.0,1.0,0.0,1997,2,18,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
43049,ac00d9e29175f7efafb295cdeab7d669987e99eb,1.0,4.0,1.0,3.0,1.0,1.0,1991,9,10,43.0,2013-01-01,,,1.0,0.0,Serviços
43090,ada4b24fc66757cb18b24e279a9b1fdd605f5e68,5.0,1.0,3.0,3.0,1.0,1.0,1995,1,26,42.0,2015-01-07,1.0,0.0,1.0,0.0,Serviços
43336,9a6d5be6e9fdcb8eccddc56b86222e1dfd22dde4,5.0,1.0,3.0,3.0,1.0,0.0,1997,6,28,42.0,2015-01-07,1.0,0.0,1.0,0.0,Serviços
43442,cc81bcb25c36f62af986b8e0535d2dd1a7359ee0,5.0,1.0,3.0,3.0,1.0,1.0,1996,12,11,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
43558,631e83fb7cf9de231b8f9b2f4d82444b00c5710c,1.0,4.0,1.0,3.0,1.0,3.0,1995,5,10,42.0,2015-01-01,,,1.0,0.0,Serviços
43658,b42f609b6f5e04f4cd3748ccdb5a01454f4de696,5.0,2.0,1.0,3.0,1.0,1.0,1998,6,28,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
43666,446e0349dc1fa1c2e769111438b7ea1184570066,5.0,1.0,3.0,3.0,1.0,0.0,1994,10,17,43.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
43689,e98bd8d0757650b62422518a3a5b6835ddf4e5d3,5.0,2.0,1.0,3.0,1.0,3.0,1977,9,19,29.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
44156,577d5a6f05796de0e1ba9d8068b081927b309fa7,1.0,4.0,1.0,3.0,1.0,1.0,1991,2,25,42.0,2016-01-01,,,1.0,0.0,Serviços
44160,2e2d4049a974e4ef17caee0f22ebd5f0917a14b6,1.0,4.0,1.0,3.0,1.0,1.0,1997,8,29,42.0,2016-01-01,,,0.0,0.0,Serviços
